Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.660679,438.0761424,543.3029674,591.1627983,641.871438,637.165464,613.8565052,578.4663529,509.2201005,519.8889126,493.7565814,507.1033919,508.8084095
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977668,717.3805674,813.7902636,1033.241693,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5355.847795,5215.276752
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2408.822985,1731.62137,1776.028278,1807.297451,1507.886663,1452.278434,1603.940302,1619.797749,1596.003926,1588.348908,1765.026718,1740.607066,1781.827726,2103.381692,2610.185422,3113.095706,3478.710412,3950.51426,4923.630278,3883.27129,4480.787439,5455.67903,5592.220115,5499.587331,5493.056663,4177.886892,3946.452425,4109.703442,4153.956234,3975.508993,3310.386534
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,8666.655382,8807.462812,8528.248777,8395.31877,8340.52344,8874.877928,9740.824491,11910.01323,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11557.67116,11534.56754,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,18878.85231,19534.26363,20549.80558,16515.6584,16235.06804,18458.17399,19016.28819,18355.62786,18895.11066,19262.30899,21854.2468,22970.51221,25067.24006,32272.84589,37966.18725,40064.22493,42674.75897,47804.84993,48719.65877,43504.21565,40850.24814,43334.81141,38686.46126,39540.72481,41303.92937,35770.7767,37475.63506,38964.90448,41791.96984,40897.33087,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,948.338178,..,..,..,251.0783484,398.7909982,522.6796243,514.3851744,423.619049,387.7851241,556.8386317,527.3335285,872.4944418,982.9610078,1255.564513,1902.42215,2599.565948,3121.996085,4080.941034,3122.781599,3587.883645,4615.468219,5100.097027,5254.881126,5408.4117,4166.979833,3506.073128,4095.810057,3289.643995,2809.626088,1895.770869
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,7347.646369,7602.345334,7745.7218,8136.188547,8771.143727,8406.358945,9030.574978,9491.660766,9940.852228,10260.59941,10872.29295,10367.31961,10401.05088,10797.95106,11446.96914,12557.54785,13995.80442,15622.69287,16044.1058,14160.562,13048.96058,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16673.4369,17113.34977,14449.99652
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,4333.483372,5735.359981,6823.538837,6969.119729,7483.140334,7408.708664,7721.354105,8213.125127,8289.507568,7774.736203,7708.099115,7208.373114,2593.404563,3349.8063,4277.721573,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809,8441.919439
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,637.8559212,590.5058756,369.7072323,357.2028486,400.5155938,456.3749333,504.0598426,523.2844107,609.1716537,597.4328988,622.7409229,694.4234554,783.241215,930.1254727,1191.921006,1643.756889,2158.148074,3139.28071,4010.861381,2994.340471,3218.378299,3525.807198,3681.844691,3838.17388,3986.231624,3607.289299,3591.828052,3914.527854,4220.540321,4622.738182,4267.452119
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,12306.71768,13495.7943,14045.47457,14938.68157,16239.98785,16439.35636,16583.87586,17927.95944,19077.68743,19355.33354,20617.75047,20670.36701,20436.88713,20833.97636,22568.37499,23300.73836,24046.22638,25834.11178,27083.63486,24631.18205,23513.5277,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,18211.50006,18821.79526,18570.12046,17634.53475,18046.13648,20319.63063,21861.32551,23468.59683,21318.96417,20533.03506,21679.24784,19490.86111,20082.48327,23447.031,30430.67644,33999.24286,36044.92281,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405,55057.2047,51812.15404
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,21680.98962,22410.91177,24880.16412,24081.52779,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27174.29716,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47309.36627,51453.14702,50121.55421,48327.63111
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,60.45862308,209.472982,157.0767542,314.5550865,409.1631891,505.5003493,561.9068079,573.9165123,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4214.311336
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,12356.231,11919.83357,11686.73974,11406.85813,11814.43471,12238.60461,12708.64145,22036.10068,23514.17756,26130.01296,27098.15632,27486.23677,28867.0825,28327.81367,28396.01371,30279.39221,30713.79806,31472.28554,30627.32775,28552.51716,28443.88848,28005.9124,29485.86422,28784.02449,29980.70826,31295.56387,31563.30787,32719.66659,33767.94119,34863.38405,28607.90138
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,8529.052127,9055.644407,9082.827988,9698.15289,10130.3762,10376.9533,10544.79468,10672.23776,10076.26988,10401.56215,13636.41675,12868.17692,13049.90973,14222.0368,15846.50595,17959.39683,19307.50894,20976.44229,23066.45098,19355.92101,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,23991.04139,23443.43483,..
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,306.2687008,293.1604211,293.6449876,300.5557477,299.5330371,329.4240761,394.7174919,401.4986674,407.4291762,409.5431838,418.0689421,415.0344043,413.0802826,446.3106757,475.2919302,499.4619402,509.6401899,558.0518407,634.9870697,702.2644196,781.1535777,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1401.564635,1563.767819,1698.132081,1855.69151,1968.792225
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7711.295456,7714.742746,7444.178173,7819.570003,8121.561919,8335.899293,8851.046458,9315.967566,10459.44247,10914.28224,11268.42006,11209.42112,11361.51677,11699.37047,12512.57797,13822.74175,15199.56753,16770.66103,17092.58214,15885.41018,16056.37098,16458.35321,16249.67395,16451.27931,16489.07224,16524.8995,16900.04829,17391.66891,17745.25537,18148.49785,15191.16404
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,2124.840514,..,..,..,1739.806395,1323.25115,1452.445488,1394.568168,1515.976717,1212.045978,1276.493985,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5351.355382,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712,6330.075246,6839.103833,6411.227813
