,Entity,Code,Year,All_ages,50_69,15_49,70_plus
112,Andean Latin America,,1990,31.17556033,145.9573125,8.309627059,523.6289357
113,Andean Latin America,,1991,30.56304877,141.9655886,7.8226311,510.9632514
114,Andean Latin America,,1992,31.08860853,141.9346586,7.936486065,514.6413335
115,Andean Latin America,,1993,31.03546915,139.2271089,7.903782481,508.7736546
116,Andean Latin America,,1994,30.19703374,133.0161582,7.583526166,490.0480239
117,Andean Latin America,,1995,29.91792166,130.0030744,7.331507193,478.14242
118,Andean Latin America,,1996,29.43818158,125.5844932,7.012387832,462.3607578
119,Andean Latin America,,1997,28.62816161,118.9716789,6.607507856,445.3206516
120,Andean Latin America,,1998,28.3872369,114.5349852,6.334871493,437.2930343
121,Andean Latin America,,1999,27.51971087,108.1958944,5.933117712,418.3199229
122,Andean Latin America,,2000,27.06887657,104.0859356,5.669968155,404.8429524
123,Andean Latin America,,2001,26.46178858,98.7558487,5.277868831,389.2707522
124,Andean Latin America,,2002,27.00765274,98.07500124,5.259217149,388.913558
125,Andean Latin America,,2003,27.59067759,97.22780969,5.246860988,390.2768387
126,Andean Latin America,,2004,27.91471857,95.43513061,5.157498062,388.6322875
127,Andean Latin America,,2005,28.1602887,94.11324643,5.070423613,384.5627212
128,Andean Latin America,,2006,27.97488057,91.05850593,4.875409036,376.5309948
129,Andean Latin America,,2007,28.04843465,89.35729424,4.754998932,371.6079692
130,Andean Latin America,,2008,28.48906797,88.96656461,4.763974583,370.4914963
131,Andean Latin America,,2009,29.24738402,89.54565492,4.831799117,374.1245027
132,Andean Latin America,,2010,29.4542303,87.48842793,4.725712317,375.3129115
133,Andean Latin America,,2011,29.11708625,84.38539809,4.493107075,368.2849541
134,Andean Latin America,,2012,28.43955271,80.45122338,4.233811606,358.2754198
135,Andean Latin America,,2013,27.47650744,76.34502046,3.983623259,343.1960445
136,Andean Latin America,,2014,26.57500363,72.51433055,3.750005821,328.7337307
137,Andean Latin America,,2015,26.01222286,69.81203963,3.591546527,317.3080396
138,Andean Latin America,,2016,25.87791473,68.36787608,3.502305468,309.5455746
139,Andean Latin America,,2017,25.70450539,66.72192755,3.430342147,301.8333675
280,Australasia,,1990,166.0678144,376.1137828,14.43562341,1315.287797
281,Australasia,,1991,158.5962879,351.7094997,13.74159153,1244.064395
282,Australasia,,1992,155.2836409,334.9671554,13.26579098,1213.245637
283,Australasia,,1993,148.6447098,311.136861,12.5936112,1159.007309
284,Australasia,,1994,145.6738425,294.6058461,12.307753,1132.340527
285,Australasia,,1995,141.0633608,276.6597813,12.05126527,1088.98055
286,Australasia,,1996,137.5602108,261.1020947,11.73807874,1052.819894
287,Australasia,,1997,131.9615191,240.854745,11.39941079,999.6855582
288,Australasia,,1998,126.2265198,221.5765272,11.04692485,947.7170714
289,Australasia,,1999,121.7035325,205.0721319,10.73351895,908.466375
290,Australasia,,2000,117.8449249,192.2106909,10.53272751,872.1512714
291,Australasia,,2001,114.749581,181.8689692,10.18557356,841.4941499
292,Australasia,,2002,113.2749783,174.9845647,10.11541582,826.6007957
293,Australasia,,2003,109.9635389,166.5382848,10.01354853,796.6565712
294,Australasia,,2004,106.6553703,159.1929417,9.729268023,767.303888
295,Australasia,,2005,102.8187106,152.3551309,9.451737971,732.0489918
296,Australasia,,2006,100.095081,146.0613023,9.131919688,707.0952133
297,Australasia,,2007,99.73623426,144.97497,9.047585842,696.0389002
298,Australasia,,2008,97.52856418,140.4051758,8.753565738,675.2453347
299,Australasia,,2009,94.31176099,135.4553345,8.54432609,644.0165405
300,Australasia,,2010,91.6936102,130.8868441,8.163010688,619.2766547
301,Australasia,,2011,90.53920822,127.6381796,7.665477428,606.3683554
302,Australasia,,2012,88.05269562,123.1367532,7.22436016,581.9906902
303,Australasia,,2013,86.81772017,121.5564499,7.058149582,563.5250874
304,Australasia,,2014,87.75252422,122.2990127,7.081337334,558.6620438
305,Australasia,,2015,88.11868479,121.6312665,7.05220516,552.2056589
306,Australasia,,2016,88.4847532,121.4788686,6.99471572,544.2809034
307,Australasia,,2017,90.74622535,123.4555536,6.807901664,545.3128332
1008,Caribbean,,1990,80.22461203,290.0122648,14.50006404,927.6242522
1009,Caribbean,,1991,79.15033849,281.8833463,14.34191333,910.1727602
1010,Caribbean,,1992,79.63632652,277.8695549,14.30655339,916.4842007
1011,Caribbean,,1993,80.47207258,277.3087182,14.39832573,919.8791045
