,Entity,Code,Year,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice,EnforceBansTobaccoAd,HelpToQuit,ProductionMT,SalePerDay,GDP_USD,ProductionUSD,EconValue,InverseBan,Percentage of Death,NewQuit,Variability,HarmValue
0,Algeria,DZA,2012,1.84,47.0,4,3,8130.0,8.520000219,5592.220115,107.3163483,0.008369412,0.25,0.000445877,1,0.9962684326146987,0.1975304793172007
1,Algeria,DZA,2014,2.09,40.9,4,4,7648.0,8.660000276,5493.056663,100.7138518,0.00741818,0.25,0.000449166,2,0.9962684326146987,-0.29577322241668147
2,Argentina,ARG,2012,2.79,69.9,4,4,7763.25989,6.4,13082.66433,95.83514021,0.005328725,0.25,0.001278948,2,2.036899092666749,1.7446840026136954
3,Argentina,ARG,2014,3.47,69.7,4,5,20069.96,6.509999943,12334.79825,79.91766226,0.005634775,0.25,0.001217465,3,2.036899092666749,1.074405935778798
4,Armenia,ARM,2012,1.69,38.4,2,4,23525.9891,8.910000276,3681.844691,128.0140914,0.010375542,0.5,0.00154793,2,1.2641454971195172,2.5177122426212204
5,Armenia,ARM,2014,1.74,44.1,2,4,17344.1891,8.520000219,3986.231624,101.4340148,0.011002332,0.5,0.001529459,2,1.2641454971195172,2.463241595948593
6,Australia,AUS,2012,8.24,63.1,4,5,14369.69,3.120000005,68012.1479,411.3233876,0.000927345,0.25,0.000862444,3,1.6801979981158515,0.1444996087683783
7,Australia,AUS,2014,10.64,58.4,4,5,14369.69,3.00999999,62510.79117,411.3233876,0.000933803,0.25,0.000862585,3,1.6801979981158515,0.1448491319492915
8,Austria,AUT,2012,4.97,75.0,4,4,29314.6927,5.020000124,48567.69529,337.3240665,0.001543045,0.25,0.001326604,2,0.28684006549535696,1.8783744499896353
9,Austria,AUT,2014,5.34,74.9,4,4,28599.1554,4.920000076,51717.49594,444.0902445,0.001447205,0.25,0.001321678,2,0.28684006549535696,1.8644876693618473
10,Azerbaijan,AZE,2012,1.75,19.8,4,3,1963.6,9.160000276,7496.294648,6.4914785,0.002637823,0.25,0.001086981,1,2.0393131908583557,1.7216320727186827
11,Azerbaijan,AZE,2014,2.7,17.6,4,3,2430.2,6.920000076,7891.313147,9.817077252,0.002227817,0.25,0.001111459,1,2.0393131908583557,1.786888964244317
12,Bahamas,BHS,2014,9.75,41.6,2,4,27571.0132,3.150000024,29980.70826,344.5804261,0.001386597,0.5,0.000396477,2,2.5919334915068664,-0.40122039986146363
