,Entity,Code,Year,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice,EnforceBansTobaccoAd,HelpToQuit,ProductionMT,SalePerDay,GDP_USD,ProductionUSD
0,Algeria,DZA,2012,1.84,47.0,4.0,3.0,8130.0,8.5200002187,5592.220115,107.316348329
1,Algeria,DZA,2014,2.09,40.9,4.0,4.0,7648.0,8.6600002759,5493.056663,100.713851841
2,Argentina,ARG,2012,2.79,69.9,4.0,4.0,7763.2598896,6.400000000099999,13082.66433,95.83514020999999
3,Argentina,ARG,2014,3.47,69.7,4.0,5.0,20069.96,6.509999942899998,12334.79825,79.917662257
4,Armenia,ARM,2012,1.69,38.4,2.0,4.0,23525.9891,8.9100002758,3681.844691,128.014091374
5,Armenia,ARM,2014,1.74,44.1,2.0,4.0,17344.1891,8.5200002187,3986.231624,101.43401475300001
6,Australia,AUS,2012,8.24,63.1,4.0,5.0,14369.689999999999,3.1200000046,68012.1479,411.32338756
7,Australia,AUS,2014,10.64,58.4,4.0,5.0,14369.689999999999,3.0099999903,62510.79117,411.32338756
8,Austria,AUT,2012,4.97,75.0,4.0,4.0,29314.692700000003,5.0200001241,48567.69529,337.32406646
9,Austria,AUT,2014,5.34,74.9,4.0,4.0,28599.1554,4.920000076300001,51717.49594,444.09024454
10,Azerbaijan,AZE,2012,1.75,19.8,4.0,3.0,1963.6,9.1600002757,7496.294648,6.4914785
11,Azerbaijan,AZE,2014,2.7,17.6,4.0,3.0,2430.2,6.920000076099998,7891.313147,9.817077252
12,Bahamas,BHS,2014,9.75,41.6,2.0,4.0,27571.013199999998,3.1500000235999996,29980.70826,344.580426127
13,Bangladesh,BGD,2012,1.38,63.8,4.0,3.0,8288.3198896,8.3600001806,883.1171296,121.02893576900001
14,Bangladesh,BGD,2014,1.54,75.6,4.0,3.0,15078.2217,8.2600001807,1118.873808,117.10628201099999
15,Belarus,BLR,2012,1.79,41.2,4.0,4.0,23525.9891,8.9100002758,6940.159254,131.3828119772
16,Belarus,BLR,2014,1.77,52.7,4.0,4.0,21541.06,8.3600001806,8318.51269,137.98530846519998
17,Belgium,BEL,2012,5.29,76.4,4.0,4.0,25832.562700000002,4.7600000858,44673.11588,315.22343493000005
18,Belgium,BEL,2014,6.08,76.4,4.0,5.0,31793.5,3.3899999855999994,47700.54036,290.13864288
19,Belize,BLZ,2014,6.75,42.5,2.0,3.0,27571.013199999998,3.7100000142999994,4718.436581,384.25045442
20,Bolivia,BOL,2012,2.89,40.4,4.0,4.0,23321.9291,7.019999980699998,2609.880562,133.996127338
21,Bolivia,BOL,2014,2.82,40.4,4.0,4.0,23321.9291,7.019999980699998,3081.878824,133.996127338
22,Bosnia and Herzegovina,BIH,2012,3.19,75.2,4.0,4.0,6752.0150920999995,6.3900000097,4778.636088,127.342503047
23,Bosnia and Herzegovina,BIH,2014,3.86,86.0,4.0,4.0,2030.172,6.320000028700001,5329.631984,14.46984524
24,Brazil,BRA,2012,2.33,62.6,5.0,5.0,44725.0,7.660000085600001,12370.02445,70.444313
25,Brazil,BRA,2014,2.85,64.3,5.0,5.0,35955.0,6.669999885599999,12112.58767,90.39365926
26,Bulgaria,BGR,2012,5.76,86.4,4.0,4.0,39908.0,5.800000191,7395.849803,181.9913904
27,Bulgaria,BGR,2014,6.25,84.0,4.0,4.0,22715.0,5.900000095,7876.866465,103.786547
28,Burundi,BDI,2014,2.26,41.2,2.0,2.0,147685.4502,8.8000001902,274.8578422,1280.66345295
29,Cambodia,KHM,2012,0.86,17.1,4.0,3.0,47670.38909999999,9.7100003231,950.880346,113.65275204699999
30,Cambodia,KHM,2014,0.92,22.2,4.0,3.0,47670.38909999999,9.7100003231,1093.495976,113.65275204699999
