,Entity,Code,Year,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice,EnforceBansTobaccoAd,HelpToQuit,ProductionMT,SalePerDay,GDP_USD,ProductionUSD
0,Algeria,DZA,2012,1.84,47,4,3,8130,,5592.22,
1,Algeria,DZA,2014,2.09,40.9,4,4,7648,,5493.06,
2,Argentina,ARG,2012,2.79,69.9,4,4,,,13082.66,
3,Argentina,ARG,2014,3.47,69.7,4,5,,,12334.8,
4,Armenia,ARM,2012,1.69,38.4,2,4,,,3681.84,
5,Armenia,ARM,2014,1.74,44.1,2,4,,,3986.23,
6,Australia,AUS,2012,8.24,63.1,4,5,,,68012.15,
7,Australia,AUS,2014,10.64,58.4,4,5,,,62510.79,
8,Austria,AUT,2012,4.97,75,4,4,,,48567.7,
9,Austria,AUT,2014,5.34,74.9,4,4,,,51717.5,
10,Azerbaijan,AZE,2012,1.75,19.8,4,3,1963.6,,7496.29,6.4914785
11,Azerbaijan,AZE,2014,2.7,17.6,4,3,2430.2,,7891.31,9.817077252
12,Bahamas,BHS,2014,9.75,41.6,2,4,,,,
13,Bangladesh,BGD,2012,1.38,63.8,4,3,,,883.12,
14,Bangladesh,BGD,2014,1.54,75.6,4,3,,,1118.87,
15,Belarus,BLR,2012,1.79,41.2,4,4,,,6940.16,
16,Belarus,BLR,2014,1.77,52.7,4,4,,,8318.51,
17,Belgium,BEL,2012,5.29,76.4,4,4,,,44673.12,
18,Belgium,BEL,2014,6.08,76.4,4,5,,,47700.54,
19,Belize,BLZ,2014,6.75,42.5,2,3,,,4718.44,
20,Bolivia,BOL,2012,2.89,40.4,4,4,,,2609.88,
21,Bolivia,BOL,2014,2.82,40.4,4,4,,,3081.88,
22,Bosnia and Herzegovina,BIH,2012,3.19,75.2,4,4,,,4778.64,
23,Bosnia and Herzegovina,BIH,2014,3.86,86,4,4,2030.172,,5329.63,14.46984524
24,Brazil,BRA,2012,2.33,62.6,5,5,44725,,12370.02,70.444313
25,Brazil,BRA,2014,2.85,64.3,5,5,35955,,12112.59,90.39365926
26,Bulgaria,BGR,2012,5.76,86.4,4,4,39908,5.800000191,7395.85,181.9913904
27,Bulgaria,BGR,2014,6.25,84,4,4,22715,5.900000095,7876.87,103.786547
28,Burundi,BDI,2014,2.26,41.2,2,2,,,274.86,
29,Cambodia,KHM,2012,0.86,17.1,4,3,,,950.88,
30,Cambodia,KHM,2014,0.92,22.2,4,3,,,1093.5,
31,Cameroon,CMR,2012,7.54,21.5,4,3,,,1354.55,
32,Cameroon,CMR,2014,2.43,17.9,4,4,,,1542.62,
33,Canada,CAN,2012,6.8,64.5,4,5,,,52669.09,
34,Canada,CAN,2014,6.88,64.5,4,5,,,50956,
35,Chile,CHL,2012,3.69,82,4,3,,,15351.54,
36,Chile,CHL,2014,5.21,81.6,4,3,,,14670.99,
37,China,CHN,2012,2.16,47.7,4,3,,,6316.92,
38,China,CHN,2014,2.13,47.8,4,4,,,7678.6,
39,Colombia,COL,2012,1.67,50.9,5,3,,,8050.26,
40,Colombia,COL,2014,1.81,49.5,5,3,,,8114.34,
41,Comoros,COM,2014,1.96,50.8,2,2,,,1513.83,
42,Costa Rica,CRI,2014,3.63,71.8,4,4,,,10847.17,
43,Croatia,HRV,2012,4.81,70.4,4,4,9452,5,13258.36,
44,Croatia,HRV,2014,5.65,74.8,4,4,7137,,13599.41,
45,Cyprus,CYP,2012,4.9,75.8,4,4,,,28912.16,
46,Cyprus,CYP,2014,5.52,77.3,4,4,,,27163.33,
47,Czechia,CZE,2012,4.91,80,4,4,,5.300000191,,
48,Czechia,CZE,2014,5.69,75.6,4,4,,4.400000095,,
49,Denmark,DNK,2012,4.66,78.7,4,5,5473,,58507.51,139.5860841
50,Denmark,DNK,2014,4.73,78.8,4,5,5433,,62548.98,173.6361315
51,Dominican Republic,DOM,2012,5.53,58.3,2,3,,,6110.37,
52,Dominican Republic,DOM,2014,6.25,57.7,2,3,,,6608.83,
53,Ecuador,ECU,2012,5.67,64.2,4,4,3745.788924,,5682.05,12.97843
54,Ecuador,ECU,2014,5.91,62.7,4,4,3075.198896,,6377.09,15.516749
55,Egypt,EGY,2012,2.29,71.5,4,4,,,,
56,Egypt,EGY,2014,2.69,72,4,4,61060,,,143.2123564
57,Estonia,EST,2012,4.8,79.2,4,4,,4.699999809,17404.2,
58,Estonia,EST,2014,4.8,81.7,4,4,,4.5,20234.12,
59,Ethiopia,ETH,2014,1.97,18.7,4,4,,,566.93,
60,Fiji,FJI,2012,4.23,40.6,4,4,,,4591.58,
61,Fiji,FJI,2014,4.57,44,4,4,,,5605.61,
62,Finland,FIN,2012,5.03,79.8,4,4,,,47710.79,0
63,Finland,FIN,2014,5.42,81.7,4,4,,,50260.3,0
64,France,FRA,2012,6.69,80,4,4,,,40874.7,
65,France,FRA,2014,7.61,80.6,4,4,,,43011.26,
66,Gambia,GMB,2014,4.42,34.4,4,2,,,,
67,Georgia,GEO,2012,1.57,54.9,2,3,,,4421.82,
68,Georgia,GEO,2014,2.41,47.5,2,4,,,4739.19,
69,Germany,DEU,2012,5.74,74.5,4,4,,4.199999809,43858.36,
70,Germany,DEU,2014,6.34,73.5,4,4,45842.627,4.099999905,47959.99,692.2874024
71,Ghana,GHA,2012,2.35,23.1,5,4,,,1587.56,
72,Ghana,GHA,2014,2.41,28.3,5,4,,,1899.67,
